,accom_icons,bookings_count,campsites_count,distance_to_search_place,favorites_count,has_enough_recommends,id,insertion_id,is_highly_demanded,is_instant_bookable,is_newly_live,is_price_discount,lat,lng,name,owner_first_name,park_name,park_url,price_per_night,price_per_night_formatted,price_per_night_base_formatted,recommends_count,recommends_percentage,url,state_abbrv_name,state_name,city_name,country_code,is_verified,market
107,tent,2,1,None,15,1,39839,c9p9pj67pepgp24n67bg,0,0,0,0,33.2641,-95.8484,#2 Peace,Lanita,Blackland Ranch Wholeness tr,/en-US/discover/texas/blackland-ranch-wholeness-ctr,40,40,40,2,100.0,https://www.hipcamp.com/en-US/texas/blackland-ranch-wholeness-ctr/2-peace,X,exas,ommerce,US,0,"Texas Hill Country, TX"
108,rv,5,22,None,44,1,57785,c9p9pj67pepgp24n67c0,0,1,0,0,31.7871328,-97.5771796,RV Park Near Historic owntown,Lisa,Hackberry cres RV Park,/en-US/discover/texas/hackberry-acres-rv-park,30,30,30,4,87.5,https://www.hipcamp.com/en-US/texas/hackberry-acres-rv-park/rv-park-near-historic-downtown,X,exas,lifton,US,1,"Texas Hill Country, TX"
109,tent,7,1,None,71,1,30474,c9p9pj67pepgp24n67cg,0,0,0,0,30.6899,-95.7444,"Getaway amping, Free Use of abin",MRK,Getaway amp and abin,/en-US/discover/texas/getaway-camp-and-cabin,175,175,175,5,100.0,https://www.hipcamp.com/en-US/texas/getaway-camp-and-cabin/getaway-camping-free-use-of-cabin,X,exas,Huntsville,US,1,"Texas Hill Country, TX"
110,rv,2,2,None,17,1,43075,c9p9pj67pepgp24n67d0,0,1,0,0,31.6836884,-95.21746815,Hassell attle Farm,oug,Hassell attle Farm,/en-US/discover/texas/hassell-cattle-farm,40,40,40,1,100.0,https://www.hipcamp.com/en-US/texas/hassell-cattle-farm/hassell-cattle-farm,X,exas,Rusk,US,0,"Texas Hill Country, TX"
111,house,0,4,None,0,0,142854,c9p9pj67pepgp24n67dg,0,1,1,0,32.893202552980975,-96.06171040625575,Js Bark Park ,Beau,Beau S.’s Land,/en-US/discover/texas/beau-s-s-land-1,27,27,27,0,0.0,https://www.hipcamp.com/en-US/texas/beau-s-s-land-1/jds-bark-park,X,exas,Quinlan,US,0,"Texas Hill Country, TX"
112,"['tent', 'rv']",2,8,None,17,1,52753,c9p9pj67pepgp24n67e0,0,0,0,0,33.592,-95.8545,Pull-hrough oncrete Pad,had,Kevin B.’s Land,/en-US/discover/texas/kevin-b-s-land-2,75,75,75,2,100.0,https://www.hipcamp.com/en-US/texas/kevin-b-s-land-2/pull-through-concrete-pad,X,exas,None,US,0,"Texas Hill Country, TX"
113,tent,0,41,None,4,0,143389,c9p9pj67pepgp24n67eg,0,1,0,0,33.65137,-97.57714,Summers Place,hristi ,hristi  J.’s,/en-US/discover/texas/christi-j-s,30,30,30,0,0.0,https://www.hipcamp.com/en-US/texas/christi-j-s/summers-place,X,exas,Saint Jo,US,0,"Texas Hill Country, TX"
114,"['tent', 'rv']",5,3,None,37,1,27754,c9p9pj67pepgp24n67f0,0,1,0,0,30.8822333333333333,-96.037,Janeric Ranch,Janie,Janeric,/en-US/discover/texas/janeric,30,30,30,4,100.0,https://www.hipcamp.com/en-US/texas/janeric/janeric-ranch,X,exas,North Zulch,US,1,"Texas Hill Country, TX"
115,"['tent', 'rv']",0,20,None,1,0,139751,c9p9pj67pepgp24n67fg,0,1,0,0,32.4315848429782382,-94.9119273080535895,wisted Pines RV Park,wisted Pines,wisted Pines RV Park,/en-US/discover/texas/twisted-pines-rv-park,60,60,60,0,0.0,https://www.hipcamp.com/en-US/texas/twisted-pines-rv-park/twisted-pines-rv-park,X,exas,Kilgore,US,0,"Texas Hill Country, TX"
116,rv,0,2,None,18,0,92063,c9p9pj67pepgp24n67g0,0,1,0,0,33.5846852,-94.9634472,Piney Woods Plantation,Michael,Piney Woods Plantation,/en-US/discover/texas/piney-woods-plantation,30,30,30,0,0.0,https://www.hipcamp.com/en-US/texas/piney-woods-plantation/piney-woods-plantation,X,exas,,US,0,"Texas Hill Country, TX"
