,names,urls,prices,state
0,Woodstock Mountains and Ponds,https://www.tentrr.com/explore/New-York/Woodstock-Mountains-and-Ponds?start=&end=&number_of_people=2,120,New York
1,El Dorado Camp,https://www.tentrr.com/explore/New-York/El-Dorado-Camp?start=&end=&number_of_people=2,100,New York
2,Holmestead Woods,https://www.tentrr.com/explore/New-York/Holmestead-Woods?start=&end=&number_of_people=2,90,New York
3,The Old Catskill Game Farm   Abandoned Zoo: Fido's Vineyard,https://www.tentrr.com/explore/New-York/The-Old-Catskill-Game-Farm-Abandoned-Zoo-Fido-s-Vineyard?start=&end=&number_of_people=2,160,New York
4,Private Peaceful Farm Venture,https://www.tentrr.com/explore/New-York/Private-Peaceful-Farm-Venture?start=&end=&number_of_people=2,92,New York
5,"River Pines, Field and Forest",https://www.tentrr.com/explore/New-York/River-Pines-Field-and-Forest?start=&end=&number_of_people=2,100,New York
6,"The Great Escape, Finger Lakes NY ",https://www.tentrr.com/explore/New-York/The-Great-Escape-Finger-Lakes-NY?start=&end=&number_of_people=2,79,New York
7,Grotto View at Stone Mountain Farm,https://www.tentrr.com/explore/New-York/Grotto-View-at-Stone-Mountain-Farm?start=&end=&number_of_people=2,80,New York
8,The Lodge's Campsite,https://www.tentrr.com/explore/New-York/The-Lodge-s-Campsite?start=&end=&number_of_people=2,115,New York
9,Yankeetown Pond Peace of Mind,https://www.tentrr.com/explore/New-York/Yankeetown-Pond-Peace-of-Mind?start=&end=&number_of_people=2,120,New York
10,Frog Pond,https://www.tentrr.com/explore/New-York/Frog-Pond?start=&end=&number_of_people=2,100,New York
11,Osa Trail,https://www.tentrr.com/explore/New-York/Osa-Trail?start=&end=&number_of_people=2,132,New York
0,The Boulder Flagship Site,https://www.tentrr.com/explore/New-York/The-Boulder-Flagship-Site?start=&end=&number_of_people=2,58,New York
1,Highwoods,https://www.tentrr.com/explore/New-York/Highwoods?start=&end=&number_of_people=2,96,New York
2,Pastoral Paths at Little Farm Too,https://www.tentrr.com/explore/New-York/Pastoral-Paths-at-Little-Farm-Too?start=&end=&number_of_people=2,100,New York
3,Hucklebuck Railway Camp East - Coleman Outfitted Site,https://www.tentrr.com/explore/New-York/Hucklebuck-Railway-Camp-East-Coleman-Outfitted-Site?start=&end=&number_of_people=2,130,New York
4,Eagle Mountain Eyrie,https://www.tentrr.com/explore/New-York/Eagle-Mountain-Eyrie?start=&end=&number_of_people=2,130,New York
5,"Waterfall Paradise, Walking Distance to River",https://www.tentrr.com/explore/New-York/Waterfall-Paradise-Walking-Distance-to-River?start=&end=&number_of_people=2,145,New York
